id	English	Japanese
GAME_NAME	Superbrothers: Sword & Sworcery EP	
GAME_MOTTO	A BRAVE EXPERIMENT IN I/O CINEMA	
GAME_NAME_SHORT	S:S&SEP	
WITH_SONGS	WITH SONGS & SOUNDS BY	
JIM_GUTHRIE	JIM GUTHRIE	
FOR_DEMO	FOR DEMONSTRATION PURPOSES ONLY	
END_DEMO	Thus ends the demo of	
SIDE_A	SIDE A	
SIDE_B	SIDE B	
ROTATE	UNSHEATHE?	
INVENTORY_ROTATE	ROTATE?	
LOOK	LOOK	
LISTEN	LISTEN	
TOUCH	TIP TAP	
DREAM	DREAM	
TOUCH_ARROW_LEFT	< <TOUCH	
TOUCH_ARROW_RIGHT	TOUCH> >	
GUIDE_ARROW_LEFT	< <GUIDE	
GUIDE_ARROW_RIGHT	GUIDE> >	
OBSERVE	OBSERVE	
INVESTIGATE	INVESTIGATE	
SHAKE	SHAKE?	
REFLECT	REFLECT	
BELIEVE	BELIEVE	
BEWARE	BEWARE	
FOLLOW	FOLLOW?	
ROTATE_UNSHEATHE	< < UNSHEATHE	
GO_HOME	GO HOME?	
START_ARROW_RIGHT	START > > >	
TRESPASS	TRESPASS	
AVOID	AVOID	
CONSIDER	CONSIDER	
PERSEVERE	PERSEVERE	
START_OVER	START OVER?	
PROMPT_YES	YES	
PROMPT_NO	NO	
PROMPT_OK	OKAY	
PROMPT_CANCEL	CANCEL	
PROMPT_SUBMIT	SUBMIT	
PROMPT_DELETE_SAVE	DO YOU WANT TO DELETE YOUR SAVE DATA? ALL PROGRESS WILL BE LOST!	
FULLSCREEN	FULLSCREEN	
FULLSCREEN_YES	YES	
FULLSCREEN_NO	NO	
VOLUME	VOLUME	
SETTINGS	SETTINGS	
CLEAR_DATA	CLEAR DATA	
KEEP_CHANGES	KEEP CHANGES?	
KEEP_CHANGES_AUTO	KEEP CHANGES? WILL AUTO REVERT IN	
GAME_RESTART_REQUIRED	GAME RESTART IS REQUIRED FOR CHANGES TO TAKE EFFECT	
TWITTER_BROADCAST	YOU MAY WISH TO BROADCAST VIA TWITTER	
TWITTER_SETTINGS	TWITTER	
TWITTER_TWEET	TWEET THIS?	
TWITTER_SIGN_IN	SIGN IN TO TWITTER	
TWITTER_USERNAME	USERNAME OR EMAIL	
TWITTER_PASSWORD	PASSWORD	
TWITTER_NEVERMIND	BACK	
TWITTER_TWEETING	TWEETING...	
TWITTER_SIGNING_IN	SIGNING IN...	
TWITTER_SUCCESS	SUCCESS!	
TWITTER_FAILED	FAILED	
TWITTER_WRONG_LOGIN	WRONG USERNAME OR PASSWORD	
TWITTER_CONNECT_FAIL	CONNECTION FAILED	
TWITTER_SIGN_IN_ONLY	SIGN IN	
TWITTER_SIGN_OUT_ONLY	SIGN OUT	
TWITTER_SIGNED_IN	YOU ARE CURRENTLY SIGNED IN TO TWITTER	
TWITTER_SIGNED_OUT	YOU ARE NOT SIGNED IN TO TWITTER	
TWITTER_FILL_OUT	PLEASE FILL OUT ALL FIELDS	
