id	user	icon	portrait	English	Japanese	Final Notes	pic	Filenames	Codes
GIRL_TONGUES	Girl			"Loin des steppes ravagées par la guerre de Scythie, nous rencontrâmes une jeune fille aux cheveux sombres dans une prairie baignée de soleil. #helloworld"			72	001.jpg	Z0E1Q
				Elle était connue des montagnards du Caucase sous le nom de 'La Fille' & semblait gentille. #obviously					
SIGN_TADPOL	The Scythian			"""La maison est là où se trouve le foyer."" #threegutrecords4ever"					
SIGN_WALL	The Scythian			"""La Scythie, la Cimmérie, l'Assyrie & la Perse - ce sont tous des royaumes des hommes. Mingi Taw est le royaume des nuages."""					
SIGN_CHASM	The Scythian			"Au bord du dangereux précipice, sous les couleurs d'un arc-en-ciel, se tenait une pierre gravée d'un glyphe représentant une épée pointée vers le ciel."					
				"Nous, les Scythes, détestons les arcs-en-ciel. #loathsomerainbows"			21	002.jpg	40C27
SIGN_BIRDTREE	The Scythian			Au bord d'un chemin qui quittait la vieille route se trouvait une pierre gravée d'une suite de glyphes indéchiffrables.					
				"Parmi les glyphes indéchiffrables, nous aperçûmes une série de pictogrammes lunaires."					
SIGN_BIRDTREEDECIPHERED	The Scythian			Au bord d'un chemin qui quittait la vieille route se trouvait une pierre gravée d'une suite de pictogrammes lunaires précédemment indéchiffrables.					
				"Les pictogrammes faisaient référence à un lieu secret proche, ""... où les humeurs de la lune pouvaient être changées."""					
				La grotte de la lune... ? #moongrotto #whatisit #itsamystery			205	003.jpg	60D3C
SIGN_WOLF	The Scythian			Au bord de la vieille route se trouvait une pierre gravée de glyphes qui avaient la forme d'une épée & d'un bouclier. #hinthint			16	004.jpg	T0C4X
SIGN_ANTECHAMBERLEFT	The Scythian			"Dans un couloir souterrain, nous aperçûmes une statue menaçante, mais cela ne nous inquiéta pas trop. #lore"			29	005.jpg	V0B53
INFO_CROSSMOUNTAINLEFT	The Scythian			"Sur le flanc accidenté de la montagne de Mingi Taw, une tombe solitaire marquait la fin d'un chemin de gravier."					
INFO_CROSSMOUNTAINRIGHT	The Scythian			"Sur le flanc accidenté de la montagne de Mingi Taw, une tombe solitaire marquait la fin d'un chemin de gravier."					
INFO_RIDGESKULLPOLE	The Scythian			Sur la crête acérée conduisant au sommet de Mingi Taw se tenait un sinistre mât orné d'un crâne aux bois de cerf.					
INFO_CROSSRIDGE	The Scythian			"Sur la crête acérée conduisant au sommet de Mingi Taw se tenait une tombe solitaire, rappel sinistre du nombre de personnes qui étaient mortes ici."					
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	Nous trouvâmes le mégagrimoire agrippé par deux mains squelettiques & nous sentîmes notre épée remuer dans son fourreau. #megatome			33	006.jpg	30D6C
DOOR_SIDEBMEADOW	The Scythian			"Une petite porte sans poignée, faite dans un matériau inconnu. Il est écrit 'Personnel autorisé uniquement'."					
DOOR_UPSLOPEWOODS1	The Scythian			La vieille route conduisant à Mingi Taw était bloquée par une porte fermée à clé.					
DOOR_UPSLOPEWOODS3	The Scythian			"Une porte fermée à clé était dissimulée dans les broussailles, sous la vieille route qui conduit à Mingi Taw. #moongrotto"					
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1						
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook		Le bûcheron coupeur de bois coupait du bois. #obviously #woodchopping			71	007.jpg	7E+71
				Il était connu des montagnards du Caucase sous le nom de 'Père Bûche' & semblait gentil.					
				Père Bûche connaissait bien notre triste errance & il accepta de nous mener jusqu'à la vieille route.					
				"Néanmoins, nous eûmes vraiment l'impression que ça ne le rendait pas très enthousiaste."					
LOGFELLA_TADPOL_WAITING	Logfella	AdventureUI/tweetIconBabelBook		Le bûcheron nous attendait pour avancer sur le chemin conduisant à la vieille route.			12	008.jpg	U0D88
LOGFELLA_INTRO_CHASM	The Scythian	AdventureUI/tweetIconBabelBook		Nous avions trouvé comment traverser le gouffre & nous nous sentions super intelligents.			22	009.jpg	L0B9S
			adventureUI/megatomeItem	Nous dîmes à Père Bûche que nous recherchions un épais livre de sinistre sworcellerie connu sous le nom de Mégagrimoire.					
			adventureUI/megatomeItem	"Le Mégagrimoire était enterré quelque part dans les ténèbres hantées, au-delà du dangereux précipice, sous Mingi Taw."					
			adventureUI/megatomeItem	Nous étions résolus à trouver le Mégagrimoire & à revenir en vie.					
LOGFELLA_BEFOREWALL	The Scythian		AdventureUI/keyItem	Le bûcheron confirma à 100 % qu'il possédait l'unique clé ouvrant la porte du mur de pierre.					
			AdventureUI/keyItem	C'était vraiment une très belle clé.					
				Nous étions fin prêts à cliquer & maintenir sur le chemin proche pour avancer avancer avancer.					
LOGFELLA_POSTTONGUE	The Scythian		adventureUI/megatomeItem	Le bûcheron connu sous le nom de Père Bûche était simplement en train d'attendre ici notre retour avec le Mégagrimoire.					
LOGFELLA_HINT_SITTINGDOWN	The Scythian	AdventureUI/tweetIconBabelBook		Le bûcheron connu sous le nom de Père Bûche avait choisi de se reposer sous un abri de pierre près du dangereux précipice.					
				Père Bûche semblait tout savoir à propos de l'horrible arc-en-ciel & des glyphes proches représentant l'épée pointée vers le ciel.					
				"Et pourtant Logfella n'était d'aucune aide pour découvrir ce qu'il fallait faire ensuite, ce qui - pour être parfaitement honnête - nous mit de mauvais poil."					
LOGFELLA_WOLF_HINT	The Scythian	AdventureUI/tweetIconBabelBook		Le bûcheron avait vu une espèce de monstre effrayant & il pensait qu'il valait mieux nous laisser nous en occuper.			26	010.jpg	Q1B00
LOGFELLA_DOWNSLOPE	The Scythian		adventureUI/megatomeItem	Nous avions récupéré le Mégagrimoire & Logfella était 100 % prêt à partir - partir retrouver la sécurité de son foyer.					
				Nous sentîmes l'arrivée d'un orage & une petite chanson naquit dans nos cœurs.					
LOGFELLA_CABINMEGATOME	The Scythian	AdventureUI/tweetIconBabelBook		"À la lumière des éclairs de la tempête qui approchait, Père Bûche admit que ça commençait sérieusement à lui filer la frousse."					
				Père Bûche était-il en train d'essayer de nous faire péter un plomb ? #yes #no #maybe					
				"Dans tous les cas, il était probablement sans danger de simplement se mettre à l'abri un moment."					
QUESTCOMPLETE_MEGATOME			adventureUI/megatomeItem	Nous avons le Mégagrimoire & nous sommes les plus forts. #gotmegatome			40	011.jpg	81C1E
GIRL_AVATAR			AdventureUI/dudeDaughterIdle1						
ARCHETYPE_AVATAR			AdventureUI/dudeArchetypeIdle1						
ARCHETYPE_TUTORIAL	The Archetype	AdventureUI/tweetIconInfo							
	The Archetype			"Mesdames & messieurs, pourquoi ne pas cliquer sur ces deux petits esprits de la forêt afin que je puisse en savoir un peu plus sur votre installation stéréo ?"					
	The Archetype			Depuis notre précédente expérience en 2011, les réseaux sociaux se sont révélés catastrophiques pour la société.					
				Cette fois-ci, nous encourageons l'isolement et la réflexion empreinte de regret.					
				Nous vous sommes extrêmement reconnaissants d'avoir bien voulu participer à ce traitement expérimental contre la dépression aiguë.					
				Vous allez trouver cette première session sur S:S&S EP assez simple. Il vous faudra normalement entre 15 et 30 minutes pour la terminer.					
				Prêts à commencer ? Cliquez sur le bouton & c'est parti.					
ARCHETYPE_FOUNDATION	The Archetype			"S:S&S EP en lui-même ne produit pas l'expérience transcendantale, il est simplement prévu pour libérer le système nerveux des schémas habituels."					
				"Le troisième aspect du ""cadre"" est le culturel - les notions de réalité & de normalité dominantes. Nous éviterons cette discussion pour le moment."					
				"Le ""cadre"" inclut le confort, la sécurité et la température de la pièce ou de l'environnement extérieur où l'expérience a lieu."					
				Nous avons découvert qu'un individu détendu et curieux a plus de chance d'avoir une expérience plaisante avec S:S&S EP.					
				"L'""état"" fait référence à l'état mental & à la structure de la personnalité que vous apportez à l'expérience - vos pensées, humeurs et/ou attentes."					
				Parlons un peu de l'état & du cadre requis pour obtenir une expérience positive avec le très psychoactif Superbrothers: Sword & Sworcery EP.					
				"La conscience développée, le potentiel inexploité & sans limite de l'esprit, c'est ce que, chez Superbrothers, nous nommons la ""sworcellerie""."					
