id	user	icon	portrait	English	Japanese	Final Notes	pic	Filenames	Codes					
GIRL_TONGUES	Girl			"Вдали от разорённых степей Скифии, на солнечной лужайке, мы повстречали темноволосую девушку. #helloworld"			72	001.jpg	Z0E1Q					
				Горцам Кавказа она была известна как «Девушка» и она казалась славной. #obviously										
SIGN_TADPOL	The Scythian			"«Дом там, где очаг». #threegutrecords4ever"										
SIGN_WALL	The Scythian			"«Скифия, Киммерия, Ассирия, Персия — всё это царства людей. А Минги Тау — это Царство Облаков»."										
SIGN_CHASM	The Scythian			На краю гибельной пропасти стоял камень с высеченными на нем символами: устремлённый ввысь меч под цветными полосками радуги.										
				"Мы, скифы, презираем радугу. #loathsomerainbows"			21	002.jpg	40C27					
SIGN_BIRDTREE	The Scythian			"На тропинке, уводящей в сторону от старой дороги, стоял камень с высеченными на нём непонятными символами."										
				Среди непонятных символов нам удалось разглядеть группу лунных пиктограмм.										
SIGN_BIRDTREEDECIPHERED	The Scythian			"На тропинке, уводящей вдаль от старой дороги, располагался камень, покрытый серией ранее непонятных лунных пиктограмм."										
				"Пиктограммы указывали на некое секретное место, расположенное неподалёку, в котором «...меняются фазы луны»."										
				Лунный Грот?.. #moongrotto #whatisit #itsamystery			205	003.jpg	60D3C					
SIGN_WOLF	The Scythian			В стороне от старой дороги стоял камень с высеченными на нем символами в виде меча и щита. #hinthint			16	004.jpg	T0C4X					
SIGN_ANTECHAMBERLEFT	The Scythian			"В подземном коридоре мы наткнулись на зловещую статую, но не придали ей особого значения. #lore"			29	005.jpg	V0B53					
INFO_CROSSMOUNTAINLEFT	The Scythian			"Одинокая могила на неровном склоне Минги Тау отмечает место, где заканчивается тропинка из гравия."										
INFO_CROSSMOUNTAINRIGHT	The Scythian			"Одинокая могила на неровном склоне Минги Тау отмечает место, где заканчивается тропинка из гравия."										
INFO_RIDGESKULLPOLE	The Scythian			"На зубчатом хребте, ведущем к Минги Тау, стоял устрашающий шест с надетым на него рогатым черепом."										
INFO_CROSSRIDGE	The Scythian			"На зубчатом хребте, ведущем к вершине Минги Тау, стояла одинокая могила, как напоминание о том, сколько людей здесь погибло."										
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	"Мы обнаружили Мегатом, сжимаемый костяными руками, и почувствовали, как меч дёрнулся у нас в ножнах. #megatome"			33	006.jpg	30D6C					
DOOR_SIDEBMEADOW	The Scythian			"Маленькая дверь из неизвестного материала, не имеющая ручки. Надпись гласит: «Только для персонала»."										
DOOR_UPSLOPEWOODS1	The Scythian			"Старая дорога, ведущая на Минги Тау, была перекрыта запертой дверью."										
DOOR_UPSLOPEWOODS3	The Scythian			Запертая дверь скрывалась в подлеске рядом с ведущей вверх по склонам Минги Тау старой дорогой. #moongrotto										
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1											
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook		Лесник-лесоруб колол дрова. #obviously #woodchopping			71	007.jpg	7E+71					
				"Горцам Кавказа он был известен под прозвищем «Дровосек», и он выглядел славным малым."										
				Дровосек знал всё о нашем печальном предназначении и согласился провести нас вверх по старой дороге.										
				"Однако, мы абсолютно точно поняли, что он не в восторге от этой затеи."										
LOGFELLA_TADPOL_WAITING	Logfella	AdventureUI/tweetIconBabelBook		"Лесник остановился, ожидая нас, чтобы продолжить путь к старой дороге."			12	008.jpg	U0D88					
LOGFELLA_INTRO_CHASM	The Scythian	AdventureUI/tweetIconBabelBook		Мы навели мост через глубокое ущелье и почувствовали себя крайне умными.			22	009.jpg	L0B9S					
			adventureUI/megatomeItem	"Мы сообщили Дровосеку, что ищем обременительную книгу зловещего чаробейства, известную как Мегатом."										
			adventureUI/megatomeItem	"Мегатом таился где-то в населённой призраками тьме, по ту сторону гибельной пропасти, глубоко в недрах Минги Тау."										
			adventureUI/megatomeItem	"Мы решили пойти и заполучить Мегатом, а затем ещё и выбраться оттуда живыми."										
LOGFELLA_BEFOREWALL	The Scythian		AdventureUI/keyItem	"Лесник со 100% гарантией заверил, что у него находится единственный ключ от запертой двери в каменной стене."										
			AdventureUI/keyItem	Это был действительно красивый ключ.										
				"Мы были в полной готовности, чтобы щёлкнуть по тропинке, удерживая кнопку, и идти-идти-идти."										
LOGFELLA_POSTTONGUE	The Scythian		adventureUI/megatomeItem	"Лесник, известный как Дровосек решил подождать здесь, пока мы не вернёмся к нему с Мегатомом."										
LOGFELLA_HINT_SITTINGDOWN	The Scythian	AdventureUI/tweetIconBabelBook		"Лесник, известный как Дровосек, решил отдохнуть под сводами каменного дольмена, который стоит у гибельной пропасти."										
				"Дровосек, казалось, всё знал о презренной радуге и символах, изображающих устремлённый в небо меч."										
				"Но всё же Дровосек не дал нам ни малейшей подсказки о том, что и как делать дальше. Что несколько нас раздражало, говоря начистоту."										
LOGFELLA_WOLF_HINT	The Scythian	AdventureUI/tweetIconBabelBook		"Лесник увидел нечто, напоминавшее страшного монстра. Он решил, что лучше отправить разобраться нас."			26	010.jpg	Q1B00					
LOGFELLA_DOWNSLOPE	The Scythian		adventureUI/megatomeItem	"Мы заполучили Мегатом, и Дровосек был на 100% готов двигать-двигать в своё безопасное жилище."										
				"Мы ощутили приближение грозы, но, тем не менее, в нашем сердце заиграла тихая песня."										
LOGFELLA_CABINMEGATOME	The Scythian	AdventureUI/tweetIconBabelBook		"В свете надвигавшейся бури, Дровосек признался, что в этот раз у него прямо мурашки по коже от неё."										
				Может Дровосек нарочно нас запугивал? #yes #no #maybe										
				"В любом случае, нам не повредит укрыться от грозы на некоторое время."										
QUESTCOMPLETE_MEGATOME			adventureUI/megatomeItem	"Мы заполучили Мегатом, и мы самые умные. #gotmegatome"			40	011.jpg	81C1E					
GIRL_AVATAR			AdventureUI/dudeDaughterIdle1											
ARCHETYPE_AVATAR			AdventureUI/dudeArchetypeIdle1											
ARCHETYPE_TUTORIAL	The Archetype	AdventureUI/tweetIconInfo												
	The Archetype			"Дамы и господа, не желаете ли щёлкнуть по этим двум лесным духам? Так я смогу послушать вашу стерео-систему."										
	The Archetype			"В настоящий момент, социальные сети показались катастрофическими для общества, основываясь на нашем предыдущем эксперименте в 2011 году."										
				"В этот раз мы поощряем изоляцию и сожаления при обдумывании прошлого."										
				"Мы глубоко признательны, что вы решили принять участие в этой экспериментальной терапии острой душевной недостаточности."										
				"Вам покажется, что первый сеанс S:S&S EP довольно прямолинеен. В норме он займёт у вас всего 15—30 минут."										
				Готовы начать? Нажмите на «play» и погнали!										
ARCHETYPE_FOUNDATION	The Archetype			"S:S&S EP не предоставит трансцендентного опыта, она всего лишь очистит вашу нервную систему от стереотипов."										
				Третий аспект «обстановки» является культурным — ваши представления о реальности и нормальности. Сейчас мы не будем об этом говорить.										
				"«Обстановка» включает в себя комфорт, безопасность и теплоту помещения или окружающей местности, в которой был получен опыт игры."										
				"Мы обнаружили, что расслабленный и любопытный человек, скорее всего, получит приятный опыт, играя в S:S&S EP."										
				"«Настрой» подразумевает психическое состояние и структуру личности. Ваши мысли, настроение и/или ожидания отразятся на впечатлении от игры."										
				"Давайте поговорим о такой вещи как «настрой и обстановка». Это полезно знать при контакте с психоделиками, такими как S:S&S EP."										
				"Расширенное сознание и безграничный потенциал разума — всё это мы, Superbrothers, именуем как «чаробейство»."										
				"Песнь чаробейства можно представить как псионическую технику, которая позволяет постичь иную реальность внутри той, что вам известна."										
				"Чтобы закончить песнь чаробейства, просто дважды щёлкните по ауре, окружающей Скифку."										
				"Начав песнь чаробейства, щёлкните на ауре и удерживая кнопку, перемещайте мышь, чтобы осмотреться вокруг."										
				"Чтобы спеть чаробейскую песнь, щёлкните на Скифке и удерживайте кнопку несколько секунд, наблюдая, как возникает чаробейская аура."										
				"Как видите, Мегатом собирает и хранит все мысленные потоки, выраженные в словах. Прокрутите вниз, чтобы увидеть о чём я думал ранее."										
ARCHETYPE_MEGATOMETUTORIAL	The Scythian		adventureUI/megatomeItem	«Так держать! Вы познали Песнь Чаробейства и теперь вся великая мощь Мегатома в ваших руках».			47	012.jpg	31E2F					
			adventureUI/megatomeItem	«Мегатом перехватывает все словесные мысленные потоки и содержит всё необходимое для выполнения вашего печального предназначения».										
			adventureUI/megatomeItem	"«В данный момент я думаю о чём-то, что может быть полезным... почему бы не открыть Мегатом и не посмотреть, что же у меня на уме?»."										
				"«Взгляните на белый треугольник в правом верхнем углу... нажмите на него и откройте Мегатом. Так вы сможете прояснить то, что скрыто»."										
LOGFELLA_STORM	The Scythian			"Лесник, известный как Дровосек бросил рубить дрова из-за зловещей бури. #wetboots"										
			adventureUI/megatomeItem	"Дровосек напомнил нам, что буря разыгралась как раз после того, как мы вырвали Мегатом из недр Минги Тау."										
				"Это был такой не-очень-тонкий намёк, что мы должны как-то успокоить бурю? #yes #no #maybe"										
GIRL_STORM	The Scythian			"Темноволосая девушка, известная просто как Девушка, пребывала в печали. #woe"										
			gourd/gourd	"С тех пор, как началась гроза, девушка стала замечать звенящие пузырьки, принадлежавшие духам леса, дремавшим где-то рядом."										
			gourd/gourd	"Она задалась вопросом, могли бы ли три лесных духа помочь остановить бурю? #yes"										
			gourd/gourd	"Она попросила нас осмотреть звенящие пузырьки, что всплывают со дна пруда рядом с хижиной."										
			gourd/gourd	"Девушка рассказала, что видела ещё одного духа на лужайке, а другого в скворечнике, где жили три мокрые певчие птички."										
			gourd/gourd	Девушка попросила нас отыскать звенящие пузырьки этих трёх лесных духов и отправить их в небо с помощью песни чаробейства.										
ARCHETYPE_SWORCERY	The Archetype			"«Настало время познать Песнь Чаробейства — технику расширения сознания, которая открывает мистическое музыкальное измерение»."										
			gourd/gourd	"«Сохраняйте спокойствие, следуйте моим указаниям, и вы сможете вызвать лесного духа, который тихо дремлет в прохладной воде глубокого пруда»."										
ARCHETYPE_TADPOLES	The Archetype			"Можно было со 100% уверенностью утверждать, что странно одетый человек ожидает от нас каких-то действий, но мы не знали, каких именно."										
			gourd/gourd	«Видите звенящие пузырьки в глубоком пруду? Значит там дремлет лесной дух и вы должны его вызвать».										
