id	user	icon	portrait	English	Japanese	JPN notes	French	Italian	German	Spanish	Craig's Notes	FIGS Notes/Questions	Final Notes	ENG Character Count
GIRL_TONGUES	Girl			Far from the war-ravaged steppes of Scythia we met a dark-haired girl in a sunlit meadow. #helloworld	戦火で荒れ果てたスキタイの平原より;~はるか離れた地で、黒髪の少女に出会った。 #helloworld		Loin des steppes ravagées par la guerre de Scythia, nous rencontrons une fille brune dans une prairie ensoleillée. #helloworld	Lontano dalle steppe vessate dalla guerra della Scizia incontrammo una fanciulla bruna su un pascolo baciato dal sole. #helloworld	Fernab der vom Krieg verwüsteten Steppen Skythiens begegneten wir einem Mädchen auf einer Wiese. #helloworld	Lejos de las estepas devastadas por la guerra de Escitia, conocimos a una chica de cabello oscuro en un prado bajo el sol. #helloworld		IT: shall we leave the hashtags in English? Pro: they would add to those used by other players in the world, con: they may not be understandable for Italian players. Still, most Italians write hashtags in English on Twitter, so I would leave them as they are, unless instructed otherwise. MR - The hashtags actually do not show up in game so leaving them alone is fine.  ES: Would it be a problem if we didn't include the hashtags at all in the target text instead of leaving them in English? MR - Probably not an issue		101
				To the mountain folk of The Caucasus she was known as Samae & she seemed nice. #obviously	コーカサス地方の山の民は、;~少女を「オトメちゃん」と呼ぶ。;~感じが良さそうな娘だ。 #名前が安直		Aux yeux du peuple montagnard du Caucasus, elle était connue sous le nom de Samae et semblait gentille. #obviously	Tra i montanari del Caucaso era conosciuta come Samae e sembrava una tipa a posto. #obviously	Den Berglern des Kaukasus war sie besser bekannt als Samae & sie schien nett zu sein. #obviously	Los montañeses del Cáucaso la llamaban Samae y parecía amable. #obviously				89
SIGN_TADPOL	The Scythian			Home is where the hearth is. #threegutrecords4ever	「暖炉の前で見る夢は、;~月の記憶か意識の淵か」#夢で逢いましょう		Le cœur d'une maison est autour de son foyer. #threegutrecords4ever	Dove c'è un focolare, c'è casa. #threegutrecords4ever	Die Heimat ist dort, wo der Herd ist. #threegutrecords4ever	El hogar es donde está el corazón. #threegutrecords4ever				50
SIGN_WALL	The Scythian			Scythia, Cimmeria, Assyria & Persia - these are all kingdoms of men. Mingi Taw is The Kingdom of the Cloud.	「スキタイ、キンメリア、アッシリア、;~ペルシャ…;これらは人が築き上げた地上の~王国だが、;ミンギ・トウは雲の王国である」		Scythia, Cimmeria, Assyria et Persia sont les royaumes des Hommes. Mingi Taw est le royaume des nuages.	Scizia, Cimmeria, Assiria e Persia erano tutti regni degli umani. Il Mingi Taw è il Regno delle Nuvole.	Skythien, Cimmeria, Assyrien & Persien - alles Königreiche der Menschen. Mingi Taw ist das Königreich der Wolke.	Escitia, Cimeria, Asiria y Persia son todos reinos de los hombres. Mingi Tau es el Reino de la Nube.		ES: Mingi Taw is rendered as Mingi Tau in Spanish (see https://www.laverdad.es/murcia/v/20130825/comarcas/lugar-donde-zeus-encadeno-20130825.html) MR - That sounds fine.		107
SIGN_CHASM	The Scythian			At the edge of the perilous precipice stood a stone carved with the glyph of a skyward sword beneath the colors of a rainbow.	「危難の崖」のすぐ手前に石碑があった。;~石碑には七色の虹と、;それらを突き上げる~ような;剣の記号が彫られていた。		Au bord du périlleux précipice se trouvait un glyphe d'épée levée sous un arc-en-ciel.	Sul ciglio del precipizio era posta una pietra con su incisa una spada puntata in alto verso un arcobaleno.	Am Rande eines Vorsprungs stand ein Stein mit einer Glyphe eines gen Himmel gerichteten Schwerts unter einem Regenbogen.	Al borde del precipicio peligroso se erigía una piedra que tenía tallado el glifo de una espada apuntada al cielo bajo los colores de un arcoíris.				125
				We Scythians loathe rainbows. #loathsomerainbows	我らスキタイ人は虹を忌み嫌う。 #虹大嫌い		Nous autres, scythiens détestons les arcs-en-ciel. #loathsomerainbows	A noi sciti fanno schifo gli arcobaleni. #loathsomerainbows	Wir Skythen hassen Regenbogen. #loathsomerainbows	Los escitas detestamos los arcoíris. #loathsomerainbows				48
SIGN_BIRDTREE	The Scythian			On a side path leading away from the old road was a stone carved with series of indecipherable glyphs.	古道から伸びる脇道に石碑があった。;~ 記号がいくつも彫ってあるが解読できない。		Sur un sentier secondaire de la vieille route se trouvait une pierre portant des glyphes incompréhensibles.	Su un sentiero secondario scostato dall'antica via giaceva una pietra con su incisa una serie di geroglifici indecifrabili.	Auf einem Pfad, der von der alten Straße fortführte, stand ein Stein mit unleserlichen Glyphen.	En un sendero lateral que salía del camino viejo había una piedra que tenía tallada una serie de glifos indescifrables.				102
				Amid the indecipherable glyphs we spied a series of lunar pictograms.	解読できない記号の羅列だが、;~その中で月を表す象形文字だけは分かった。		Parmi ces glyphes, nous avons découvert une série de pictogrammes lunaires.	Tra i geroglifici indecifrabili scorgemmo una serie di pittogrammi lunari.	Zwischen den unkenntlichen Glyphen entdeckten wir Mondpiktogramme.	Entre ellos descubrimos un conjunto de pictogramas lunares.				69
SIGN_BIRDTREEDECIPHERED	The Scythian			On a side path leading away from the old road was a stone carved with a series of previously indecipherable lunar pictograms.	古道から伸びる脇道に、;月の象形文字が~彫られた石碑があった。;以前は解読~できなかったものだ。		Sur un sentier secondaire de la vieille route se trouvait une pierre contenant une série de pictogrammes lunaires jusqu'ici incompréhensibles.	Su un sentiero secondario dell'antica via giaceva una pietra con su incisi dei pittogrammi lunari precedentemente indecifrabili.	Auf einem Seitenpfad, der von der alten Straße fort führte, stand ein Stein mit bisher unleserlichen Mondpiktogrammen.	En un sendero lateral que salía del camino viejo había una piedra que tenía tallada una serie de pictogramas lunares que antes no habíamos podido descifrar.				125
				The pictograms referred to a secret place located nearby "...where the moods of the moon could be altered."	象形文字は、この近くにある秘密の場所を;~指し示すもののようだ。;~「月の満ち欠けが様変わりする」とある。		Ces pictogrammes mentionnaient un endroit secret situé "… près de l'endroit où l'humeur de la lune pouvait être altérée".	I pittogrammi facevano riferimento a un posto segreto nelle vicinanze "...dove le facce della luna possono essere alterate".	Die Pikogramme sprachen von einem geheimen Ort in der Nähe "... wo die Stimmungen des Monds geändert werden können."	Los símbolos hablaban de un lugar secreto y cercano «donde podían alterarse los humores de la luna».				107
				The Moon Grotto... ? #moongrotto #whatisit #itsamystery	月の洞穴…？  #月の洞穴 #何コレ #謎		La Grotte Lunaire… ? #moongrotto #whatisit #itsamystery	La Spelonca Lunare...? #moongrotto #whatisit #itsamystery	Die Mondgrotte ...? #moongrotto #whatisit #itsamystery	¿La Gruta Lunar? #moongrotto #whatisit #itsamystery				55
SIGN_WOLF	The Scythian			By the side of the old road there was a stone carved with a pair of glyphs in the shape of a sword & a shield. #hinthint	古道のわきに石碑があった。;~剣と盾を示す記号が彫られている。 #ヒント		Au bord de la vieille route se trouvait une pierre avec deux glyphes en forme d'épée et de bouclier. #hinthint	Sul fianco dell'antica via giaceva una pietra con su incisi due geroglifici a forma di spada e scudo. #hinthint	Neben der alten Straße stand ein Stein mit Glyphen in Form eines Schwerts & eines Schildes. #hinthint	Junto al camino viejo había una piedra que tenía tallado un par de glifos, una espada y un escudo. #hinthint				120
SIGN_ANTECHAMBERLEFT	The Scythian			In a subterrenean corridor we spied an ominous statue but we didn't worry too much about it. #lore	地下道には不気味な像があったが、;~とりあえずシカトを決め込むことにした。 #言い伝え		Dans un couloir souterrain, nous avons trouvé une statue sinistre, mais nous n'y avons pas vraiment fait attention. #lore	In un corridoio sotterraneo scorgemmo una statua sinistra, a cui non facemmo molto caso. #lore	In einem unterirdischen Gang entdeckten wir eine ominöse Statue, doch wir dachten uns nicht viel dabei. #lore	En un pasadizo subterráneo descubrimos una estatua ominosa, pero no le prestamos mucha atención. #lore				98
INFO_CROSSMOUNTAINLEFT	The Scythian			On the rugged mountainside of Mingi Taw a lonely grave marked the dead-end of a gravel path.	ミンギ・トウの山道はここで終わっている。;~道の終端には寂しげな墓が立っていた。		Sur le versant montagneux accidenté de Mingi Taw, une tombe solitaire marquait la fin d'un chemin de gravier.	Sul versante frastagliato del Mingi Taw una tomba solitaria indicava il punto di non ritorno di una mulattiera di ghiaia.	Am schroffen Hang von Mingi Taw stand ein einsames Grab am Ende eines steinigen Wegs.	En las laderas escarpadas de Mingi Tau, una tumba solitaria marcaba el final de un sendero de grava.				92
INFO_CROSSMOUNTAINRIGHT	The Scythian			On the rugged mountainside of Mingi Taw a lonely grave marked the dead-end of a gravel path.	ミンギ・トウの山道はここで終わっている。;~道の終端には寂しげな墓が立っていた。		Sur le versant montagneux accidenté de Mingi Taw, une tombe solitaire marquait la fin d'un chemin de gravier.	Sul versante frastagliato del Mingi Taw una tomba solitaria indicava il punto di non ritorno di una mulattiera di ghiaia.	Am schroffen Hang von Mingi Taw stand ein einsames Grab am Ende eines steinigen Wegs.	En las laderas escarpadas de Mingi Tau, una tumba solitaria marcaba el final de un sendero de grava.				92
INFO_RIDGESKULLPOLE	The Scythian			On the jagged ridge leading to the summit of Mingi Taw stood a grim pole adorned with an antlered skull.	ミンギ・トウの頂上へと続く険しい山道に;~何やら棒が立っていた。;棒には大仰な角の~ついた;不気味な骸骨が飾りつけてあった。		Sur la crête dentelée menant au sommet de Mingi Taw se trouvait un poteau des plus sinistres, fait avec un crâne muni de ramures.	Sull'aspro crinale che conduceva alla cima del Mingi Taw si ergeva un sinistro pennone decorato con un teschio animale.	Auf dem zerklüfteten Bergkamm von Mingi Taw stand ein grausiger Pfahl, geschmückt mit einem Schädel mit Geweih.	En el risco amenazante que llevaba a la cima de Mingi Tau se erigía un poste lúgubre que sostenía un cráneo astado.				104
