id	English	Japanese	JPN NOTES	French	Italian	German	Spanish	FIGS Notes/Questions	7
GAME_NAME	Superbrothers: Sword & Sworcery EP	スキタイのムスメ：音響的冒剣劇		Superbrothers: Sword & Sworcery EP 	Superbrothers: Sword & Sworcery EP	Superbrothers: Sword & Sworcery EP	Superbrothers: Sword & Sworcery EP		34
GAME_MOTTO	A BRAVE EXPERIMENT IN I/O CINEMA	インプット・アウトプット・シネマ実験		UNE COURAGEUSE EXPÉRIENCE EN CINÉMA I/O.	UN CORAGGIOSO ESPERIMENTO DI CINEMA I/O	EIN MUTIGES EXPERIMENT IN I/O CINEMA	UN EXPERIMENTO AUDAZ DE CINE INTERACTIVO		32
GAME_NAME_SHORT	S:S&SEP	スキムス	HM, jun13: Changed it since it was using the old name.	S:S&SEP	S:S&SEP	S:S&S EP	S:S&S EP		7
WITH_SONGS	WITH SONGS & SOUNDS BY	楽曲 & サウンド：		MUSIQUES ET SONS DE	CON MUSICHE E SUONI DI	MIT LIEDERN & SOUNDS VON	CON CANCIONES Y SONIDOS DE		22
JIM_GUTHRIE	JIM GUTHRIE	ジム・ガスリー		JIM GUTHRIE	JIM GUTHRIE	JIM GUTHRIE	JIM GUTHRIE		11
FOR_DEMO	FOR DEMONSTRATION PURPOSES ONLY	体験版専用		SEULEMENT À DES FINS DE DÉMONSTRATION	AL SOLO SCOPO DIMOSTRATIVO	NUR ZU DEMONSTRATIONSZWECKEN	SOLO PARA FINES DEMOSTRATIVOS		31
END_DEMO	Thus ends the demo of	これにて体験版終劇：		Voilà qui conclue la démo de	Finisce così la demo di	So endet die Demoversion von	Aquí termina la demo de		21
SIDE_A	SIDE A	A面		PARTIE A	LATO A	SEITE A	LADO A		6
SIDE_B	SIDE B	B面		PARTIE B	LATO B	SEITE B	LADO B		6
ROTATE	UNSHEATHE?	抜刀する？	JJ, Jun08: Removed space.	DÉGAINER ? 	SFODERA?	ZIEHEN?	¿DESENVAINAR?		10
INVENTORY_ROTATE	ROTATE?	回転してみる？	MM,May29: Shortened, please recenter on screen JR, may30: Changed to Japanese ？	TOURNER ?	RUOTA?	DREHEN?	¿GIRAR?		7
LOOK	LOOK	見て		VOIR	GUARDA	UMSEHEN	MIRAR		4
LISTEN	LISTEN	聞いて		ÉCOUTER	ASCOLTA	ZUHÖREN	ESCUCHAR		6
TOUCH	TIP TAP	トントンして		TOUCHER	TIP TAP	TIPP-TIPP	TOCAR		7
DREAM	DREAM	夢		RÊVER	SOGNA	TRAUM	SOÑAR		5
TOUCH_ARROW_LEFT	< <TOUCH	< <触れて		< < TOUCHER	< <TOCCA	< <BERÜHREN	< < TOCAR		8
TOUCH_ARROW_RIGHT	TOUCH> >	触れて> >		TOUCHER> >	TOCCA> >	BERÜHREN> >	TOCA > >		8
GUIDE_ARROW_LEFT	< <GUIDE	< <こっちへ		< < GUIDER	< <GUIDA	< <FÜHREN	< < GUIAR		8
GUIDE_ARROW_RIGHT	GUIDE> >	こっちへ> >		GUIDER> > 	GUIDA> >	FÜHREN> >	GUÍA > >		8
OBSERVE	OBSERVE	観察して		OBSERVER	OSSERVA	BEOBACHTEN	OBSERVAR		7
INVESTIGATE	INVESTIGATE	よく見て		ENQUÊTER	INDAGA	UNTERSUCHEN	INVESTIGAR		11
SHAKE	SHAKE?	振ってみる？	JR, may30: Changed to Japanese ？	SECOUER ?	SCUOTI?	SCHÜTTELN?	¿SACUDIR?		6
