id	user	icon	portrait	English	Japanese
GIRL_TONGUES	Girl			Far from the war-ravaged steppes of Scythia we met a dark-haired girl in a sunlit meadow. #helloworld	
				To the mountain folk of The Caucasus she was known as Samae & she seemed nice. #obviously	
SIGN_TADPOL	The Scythian			"""Home is where the hearth is."" #threegutrecords4ever"	
SIGN_WALL	The Scythian			"""Scythia, Cimmeria, Assyria & Persia - these are all kingdoms of men. Mingi Taw is The Kingdom of the Cloud."""	
SIGN_CHASM	The Scythian			At the edge of the perilous precipice stood a stone carved with the glyph of a skyward sword beneath the colors of a rainbow.	
				We Scythians loathe rainbows. #loathsomerainbows	
SIGN_BIRDTREE	The Scythian			On a side path leading away from the old road was a stone carved with series of indecipherable glyphs.	
				Amid the indecipherable glyphs we spied a series of lunar pictograms.	
SIGN_BIRDTREEDECIPHERED	The Scythian			On a side path leading away from the old road was a stone carved with a series of previously indecipherable lunar pictograms.	
				"The pictograms referred to a secret place located nearby ""...where the moods of the moon could be altered."""	
				The Moon Grotto... ? #moongrotto #whatisit #itsamystery	
SIGN_WOLF	The Scythian			By the side of the old road there was a stone carved with a pair of glyphs in the shape of a sword & a shield. #hinthint	
SIGN_ANTECHAMBERLEFT	The Scythian			In a subterrenean corridor we spied an ominous statue but we didn't worry too much about it. #lore	
INFO_CROSSMOUNTAINLEFT	The Scythian			On the rugged mountainside of Mingi Taw a lonely grave marked the dead-end of a gravel path.	
INFO_CROSSMOUNTAINRIGHT	The Scythian			On the rugged mountainside of Mingi Taw a lonely grave marked the dead-end of a gravel path.	
INFO_RIDGESKULLPOLE	The Scythian			On the jagged ridge leading to the summit of Mingi Taw stood a grim pole adorned with an antlered skull.	
INFO_CROSSRIDGE	The Scythian			On the jagged ridge leading to the summit of Mingi Taw a lonely grave stood as a grim reminder of how many folks had died up here.	
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	We found The Megatome clasped in two bone hands & we felt our sword stir in its sheathe. #megatome	
DOOR_SIDEBMEADOW	The Scythian			A small door with no handle made from an unknown material. A sign says 'Authorized Personnel Only'.	
DOOR_UPSLOPEWOODS1	The Scythian			The old road to Mingi Taw was blocked by a locked door.	
DOOR_UPSLOPEWOODS3	The Scythian			A locked door hid in the forest underbrush below the old road that leads up to Mingi Taw. #moongrotto	
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1		
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook		The wood-chopping woodsman chopped wood. #obviously #woodchopping	
				To the mountain folk of The Caucasus he was known as 'Logfella' & he seemed cool.	
				Logfella knew all about our woeful errand & he agreed to lead us up the old road.	
				Still we definitely got the feeling that he wasn't super jazzed about this.	
LOGFELLA_TADPOL_WAITING	Logfella	AdventureUI/tweetIconBabelBook		The woodsman waited for us to continue along the path to the start of the old road.	
LOGFELLA_INTRO_CHASM	The Scythian	AdventureUI/tweetIconBabelBook		We had bridged the chasm & we felt super smart.	
			adventureUI/megatomeItem	We told Logfella that we sought a burdensome book of sinister sworcery known as The Megatome.	
			adventureUI/megatomeItem	The Megatome lurked somewhere in the haunted darkness beyond The Perilous Precipice beneath Mingi Taw.	
