id	English	Japanese
GAME_NAME	Superbrothers: Sword & Sworcery EP	
GAME_MOTTO	UN EXPERIMENTO AUDAZ DE CINE INTERACTIVO	
GAME_NAME_SHORT	S:S&SEP	
WITH_SONGS	CON CANCIONES Y SONIDOS DE	
JIM_GUTHRIE	JIM GUTHRIE	
FOR_DEMO	SOLO PARA FINES DEMOSTRATIVOS	
END_DEMO	Aquí termina la demo de	
SIDE_A	CARA A	
SIDE_B	CARA B	
ROTATE	¿DESENVAINAR?	
INVENTORY_ROTATE	¿GIRAR?	
LOOK	MIRA	
LISTEN	ESCUCHA	
TOUCH	TOCA	
DREAM	SUEÑA	
TOUCH_ARROW_LEFT	< < TOCA	
TOUCH_ARROW_RIGHT	TOCA > >	
GUIDE_ARROW_LEFT	< < GUÍA	
GUIDE_ARROW_RIGHT	GUÍA > >	
OBSERVE	OBSERVA	
INVESTIGATE	INVESTIGA	
SHAKE	¿SACUDIR?	
REFLECT	REFLEXIONA	
BELIEVE	CREE	
BEWARE	CUIDADO	
FOLLOW	¿SEGUIR?	
ROTATE_UNSHEATHE	< < DESENVAINA	
GO_HOME	¿IR A CASA?	
START_ARROW_RIGHT	INICIO > > >	
TRESPASS	INFÍLTRATE	
AVOID	EVITA	
CONSIDER	EXAMINA	
PERSEVERE	PERSEVERA	
START_OVER	¿REINICIAR?	
PROMPT_YES	SÍ	
PROMPT_NO	NO	
PROMPT_OK	ACEPTAR	
PROMPT_CANCEL	CANCELAR	
PROMPT_SUBMIT	ENVIAR	
PROMPT_DELETE_SAVE	¿ELIMINAR DATOS GUARDADOS? SE PERDERÁ TODO EL PROGRESO	
FULLSCREEN	PANTALLA COMPLETA	
FULLSCREEN_YES	SÍ	
FULLSCREEN_NO	NO	
VOLUME	VOLUMEN	
SETTINGS	OPCIONES	
CLEAR_DATA	BORRAR DATOS	
KEEP_CHANGES	¿GUARDAR CAMBIOS?	
KEEP_CHANGES_AUTO	¿GUARDAR CAMBIOS? SE REVERTIRÁ EN	
GAME_RESTART_REQUIRED	REINICIA EL JUEGO PARA QUE TENGAN EFECTO LOS CAMBIOS	
TWITTER_SELECT_BUTTON	SELECCIONAR	
TWITTER_SELECT_MSG	"POR FAVOR, SELECCIONA UNA CUENTA DE TWITTER"	
TWITTER_NO_ACCOUNTS	Configura Twitter en tu dispositivo	
TWITTER_REQUESTING	SOLICITANDO ACCESO...	
TWITTER_BROADCAST	QUIZÁ QUIERAS COMPARTIR POR TWITTER	
TWITTER_SETTINGS	OPCIONES	
TWITTER_TWEET	¿TUITEAR?	
TWITTER_SIGN_IN	INICIAR SESIÓN EN TWITTER	
TWITTER_USERNAME	USUARIO O CORREO	
TWITTER_PASSWORD	CONTRASEÑA	
TWITTER_NEVERMIND	ATRÁS	
TWITTER_TWEETING	TUITEANDO...	
TWITTER_SIGNING_IN	ACCEDIENDO...	
TWITTER_SUCCESS	¡LISTO!	
TWITTER_FAILED	ERROR	
TWITTER_WRONG_LOGIN	USUARIO O CONTRASEÑA INCORRECTA	
TWITTER_CONNECT_FAIL	FALLÓ LA CONEXIÓN	
TWITTER_SIGN_IN_ONLY	INICIAR SESIÓN	
TWITTER_SIGN_OUT_ONLY	CERRAR SESIÓN	
TWITTER_SIGNED_IN	INICIASTE SESIÓN EN TWITTER	
TWITTER_SIGNED_OUT	NO INICIASTE SESIÓN EN TWITTER	
TWITTER_FILL_OUT	COMPLETA TODOS LOS CAMPOS	
EPITAPH	NO QUEDA NINGÚN SECRETO EN LOS MARJALES DE LOS MEOTAS.	
FIGHT	¿LUCHAR?	
DARKMOON_COUNT_9	LUNA SOMBRÍA EN 9 DÍAS	
DARKMOON	LUNA SOMBRÍA	
BRIGHTMOON	LUNA RADIANTE	
DARKMOON_BEFORE_NUM	LUNA SOMBRÍA EN	
DARKMOON_AFTER_1	DÍA	
DARKMOON_AFTER_MORE	DÍAS	
BRIGHTMOON_BEFORE_NUM	LUNA RADIANTE EN	
BRIGHTMOON_AFTER_1	DÍA	
BRIGHTMOON_AFTER_MORE	DÍAS	
TIME_PARADOX	* PARADOJA TEMPORAL *	
